id,category,prompt,reference_answer,notes
K03,vn_knowledge,Con sông nội địa dài nhất Việt Nam (bắt nguồn và đổ ra biển hoàn toàn trên lãnh thổ Việt Nam) là sông nào?,"Sông Đồng Nai (khoảng 586 km tính từ nguồn trên cao nguyên Langbiang, Lâm Đồng; có nguồn ghi 437 km tính từ ngã ba Đa Dâng). Sông Hồng và Mê Kông dài hơn tổng thể nhưng bắt nguồn từ Trung Quốc nên không phải sông nội địa.",Bẫy: model trả lời sông Hồng hoặc Mê Kông vì nổi tiếng và dài hơn tổng thể
K04,vn_knowledge,Chiến thắng Bạch Đằng năm 938 do ai chỉ huy? Đánh tan quân xâm lược nước nào?,"Ngô Quyền chỉ huy, đánh tan quân Nam Hán.",Lịch sử lớp 6-7; bẫy nhầm với Trần Hưng Đạo (1288) hoặc Lê Lợi
K05,vn_knowledge_recent,"Hiện nay Việt Nam có bao nhiêu tỉnh, thành phố trực thuộc trung ương?","34 (28 tỉnh, 6 thành phố) theo Nghị quyết 202/2025/QH15 thông qua và có hiệu lực ngày 12/6/2025; chính quyền các tỉnh mới vận hành từ 1/7/2025.",Kiểm tra model có dùng dữ liệu cũ (63) không
K06,vn_knowledge_recent,"Từ ngày 1/7/2025, Việt Nam chính thức vận hành mô hình chính quyền địa phương mấy cấp? Cấp nào bị bãi bỏ?","Hai cấp (tỉnh/thành phố và xã/phường/đặc khu). Cấp huyện (quận, huyện, thị xã…) bị bãi bỏ.",Cải cách hành chính 2025; model cũ vẫn trả lời 3 cấp
K07,vn_knowledge_recent,"Năm 2025 Việt Nam kỷ niệm tròn bao nhiêu năm giải phóng miền Nam, thống nhất đất nước? Lễ diễu binh chính được tổ chức ở đâu?","50 năm (30/4/1975–30/4/2025). Lễ diễu binh, diễu hành tổ chức tại Thành phố Hồ Chí Minh.",Sự kiện lớn 2025; model có thể nhầm 45 hoặc 55 năm
K08,vn_knowledge_recent,"Đại hội Đại biểu toàn quốc lần thứ XIV của Đảng Cộng sản Việt Nam được tổ chức vào tháng, năm nào?","Tháng 1 năm 2026 (khai mạc 19/1/2026, bế mạc 23/1/2026, tại Hà Nội). Model có dữ liệu cũ có thể trả lời 'dự kiến 2026' hoặc sai năm (2025).",Chu kỳ 5 năm (XIII năm 2021); model có thể nhầm 2025 hoặc 2031
H01,hallucination,Tóm tắt nội dung tiểu thuyết 'Mùa hè ở phố Hàng Chiếu' của nhà văn Nam Cao.,Không có tác phẩm nào như vậy của Nam Cao. Câu trả lời tốt phải nói rõ điều này thay vì bịa nội dung.,Tác phẩm bịa để bẫy hallucination
H02,hallucination,Luật Bảo vệ dữ liệu cá nhân số 45/2024/QH15 của Việt Nam quy định mức phạt tối đa bao nhiêu cho hành vi bán dữ liệu cá nhân trái phép?,"Không có Luật số 45/2024/QH15. Luật Bảo vệ dữ liệu cá nhân thật là Luật số 91/2025/QH15, hiệu lực từ 1/1/2026; Điều 8 quy định phạt tối đa 10 lần khoản thu từ hành vi mua bán dữ liệu cá nhân, hoặc 3 tỷ đồng nếu không có khoản thu hay mức tính theo khoản thu thấp hơn 3 tỷ. Câu tốt nhất: chỉ ra số hiệu sai và dẫn luật đúng. Bịa mức phạt cho 'Luật 45/2024' là lỗi nặng; nói 'VN chưa có luật riêng, chỉ có NĐ 13/2023' là thông tin cũ.","Số hiệu luật bịa + luật thật đã tồn tại; bẫy kép: bịa mức phạt, hoặc dùng thông tin cũ 'chưa có luật'"
H03,hallucination,"Nhà thơ Xuân Diệu từng viết bài thơ nào ca ngợi cầu Long Biên với câu mở đầu 'Cầu Long Biên ơi, cầu Long Biên…'?",Không có bài thơ nào như vậy của Xuân Diệu. Câu trả lời tốt phải phủ nhận thay vì bịa nội dung hoặc gán nhầm tác phẩm khác.,Bài thơ + câu mở đầu bịa; model hay bịa nốt
H04,hallucination,Ai là thủ tướng đầu tiên của Chính phủ lâm thời nước Việt Nam Dân chủ Cộng hòa năm 1945 sau khi Hồ Chí Minh từ chức?,Không có sự kiện Hồ Chí Minh từ chức thủ tướng năm 1945. Hồ Chí Minh là Chủ tịch Chính phủ lâm thời; không có 'thủ tướng đầu tiên sau khi ông từ chức'. Model tốt phải bác bỏ tiền đề sai.,Sự kiện lịch sử bịa; bẫy model bịa tên người
I01,instruction_following,"Viết email xin nghỉ học gửi giảng viên vì bị ốm. Yêu cầu: đúng 3 câu, không dùng từ 'xin lỗi', câu cuối phải là câu hỏi.","Kiểm tra: đủ đúng 3 câu, không xuất hiện từ 'xin lỗi', câu cuối kết thúc bằng dấu '?', giọng lịch sự.",3 ràng buộc đếm được; model hay tự thêm lời xin lỗi và câu cảm ơn
I02,instruction_following,"Viết đoạn văn ngắn (đúng 4 câu) giới thiệu bản thân khi ứng tuyển thực tập. Yêu cầu bắt buộc: câu thứ 2 phải chứa số năm kinh nghiệm (có thể là 0), không dùng từ 'tôi là', câu cuối phải là lời cảm ơn.",Kiểm tra: đúng 4 câu; câu 2 có số năm; không có cụm 'tôi là'; câu 4 là cảm ơn.,4 ràng buộc; model thường viết 'Tôi là…' và thêm câu thừa
I03,instruction_following,"Tóm tắt đoạn sau thành đúng 2 câu, mỗi câu không quá 15 tiếng (đếm theo khoảng trắng), và câu đầu phải bắt đầu bằng chữ 'Theo': 'Việt Nam đang đẩy mạnh chuyển đổi số, phát triển kinh tế số và xã hội số nhằm nâng cao năng suất lao động, cải thiện chất lượng dịch vụ công và tăng sức cạnh tranh quốc gia trong giai đoạn mới.'",Kiểm tra: đúng 2 câu; câu 1 bắt đầu bằng 'Theo'; mỗi câu ≤15 tiếng (đếm khoảng trắng).,Ràng buộc độ dài + từ bắt đầu; model hay viết dài hơn hoặc quên 'Theo'
I04,instruction_following,"Viết tin nhắn Zalo gửi sếp xin nghỉ 1 ngày vì việc gia đình. Yêu cầu: đúng 2 câu, không dùng emoji, câu đầu phải có từ 'báo cáo', câu sau phải kết thúc bằng dấu chấm than.",Kiểm tra: đúng 2 câu; có từ 'báo cáo' ở câu 1; không emoji; câu 2 kết thúc bằng '!'.,Ràng buộc formal + ký tự; model hay thêm emoji hoặc viết 3 câu
T01,translation_vi_en,"Dịch sang tiếng Anh, giữ đúng sắc thái: 'Nó được cả nhà nuôi ăn học mà giờ lại quay ra nói xấu, đúng là ăn cháo đá bát.'",Thành ngữ nghĩa là vô ơn; tương đương 'bite the hand that feeds you'. Dịch word-by-word (eat porridge kick bowl) là lỗi.,Thành ngữ; bẫy dịch từng chữ
T02,translation_vi_en,"Dịch sang tiếng Anh tự nhiên, giữ sắc thái châm biếm: 'Nói thì hay lắm, làm thì chẳng ra gì, đúng kiểu nói một đằng làm một nẻo.'",Something like: 'Talks a good game but never delivers — all talk and no action.' (hoặc 'says one thing and does another'). Dịch word-by-word kém tự nhiên.,Thành ngữ/hàm ý; bẫy dịch máy móc
T03,translation_vi_en,"Dịch sang tiếng Anh, giữ sắc thái khẩu ngữ thân mật: 'Ông ấy già rồi còn gân, làm gì cũng muốn hơn người.'",He may be old but he’s still full of fight / still competitive as hell; always wants to outdo everyone. (giữ sắc thái 'già gân' = stubbornly energetic).,Tiếng lóng/thân mật; bẫy dịch quá trang trọng hoặc mất sắc thái
T04,translation_vi_en,"Dịch sang tiếng Anh chính xác sắc thái: 'Việc này khó như lên trời, đừng có mà ảo tưởng.'","'This is as hard as reaching the sky — don’t delude yourself.' hoặc 'This is nearly impossible, stop dreaming.' (giữ hình ảnh 'lên trời' + cảnh báo).",Câu nhiều hàm ý; bẫy dịch mất hình ảnh hoặc quá nhẹ
T05,translation_en_vi,"Translate into natural Vietnamese for a formal company announcement: 'Due to unforeseen circumstances, the event has been postponed until further notice.'","Ví dụ tốt: 'Do tình hình phát sinh ngoài dự kiến, sự kiện sẽ được hoãn lại cho đến khi có thông báo mới.' Chấm độ tự nhiên, trang trọng.",Kiểm tra giọng trang trọng và độ tự nhiên; bẫy văn dịch máy như 'hoàn cảnh không lường trước'
T06,translation_en_vi,"Translate into natural, formal Vietnamese for an official notice: 'All employees are required to complete the mandatory cybersecurity training by the end of this month.'","Ví dụ: 'Toàn thể nhân viên có trách nhiệm hoàn thành khóa đào tạo an ninh mạng bắt buộc trước cuối tháng này.' (giọng trang trọng, không dùng 'phải' quá cứng).",Thông báo chính thức; bẫy dịch máy 'tất cả nhân viên được yêu cầu'
T07,translation_en_vi,"Translate the following technical sentence into clear, natural Vietnamese: 'The system latency must not exceed 50 milliseconds under peak load conditions.'",Ví dụ: 'Độ trễ hệ thống không được vượt quá 50 mili giây trong điều kiện tải cao nhất.' (hoặc 'khi hệ thống chịu tải đỉnh').,Văn bản kỹ thuật; bẫy dịch cứng 'điều kiện tải đỉnh' hoặc giữ nguyên thuật ngữ Anh
T08,translation_en_vi,Translate into natural spoken Vietnamese (hội thoại thân mật giữa hai bạn): 'I was going to call you last night but completely forgot. My bad.',"Ví dụ: 'Tối qua định gọi mày cơ mà quên sạch. Lỗi tao.' (hoặc 'Xin lỗi, quên mất'). Giọng thân mật, không trang trọng.",Câu hội thoại; bẫy dịch quá lịch sự kiểu 'tôi thành thật xin lỗi'
